date,uri,hdUri,copyright,type
2012-08-23,https://apod.nasa.gov/apod/image/1208/ConjunctionColoursPhilHart600.jpg,https://apod.nasa.gov/apod/image/1208/ConjunctionColoursPhilHart.jpg,Phil Hart,image
2012-08-24,https://apod.nasa.gov/apod/image/1208/VenusLunarOcc_Kwon2012c900.jpg,https://apod.nasa.gov/apod/image/1208/VenusLunarOcc_Kwon2012.jpg,"Kwon, O Chul",image
2012-08-25,https://apod.nasa.gov/apod/image/1208/Albrechtsberg_Perseid2012-08-12_voltmer900.jpg,https://apod.nasa.gov/apod/image/1208/Albrechtsberg_Perseid2012-08-12_voltmer.jpg,Sebastian Voltmer,image
2012-08-26,https://apod.nasa.gov/apod/image/1208/catseye3_hst_960.jpg,https://apod.nasa.gov/apod/image/1208/catseye3_hst_800.jpg,,image
2012-08-27,https://apod.nasa.gov/apod/image/1208/mastsharp_curiosity_960.jpg,https://apod.nasa.gov/apod/image/1208/mastsharp_curiosity_1600.jpg,,image
2012-08-28,https://apod.nasa.gov/apod/image/1208/rhoantares_odonoghue_960.jpg,https://apod.nasa.gov/apod/image/1208/rhoantares_odonoghue_1000.jpg,Tom O'Donoghue,image
2012-08-29,https://apod.nasa.gov/apod/image/1208/spritenight_iss_960.jpg,https://apod.nasa.gov/apod/image/1208/spritenight_iss_4256.jpg,,image
2012-08-30,https://apod.nasa.gov/apod/image/1208/a11pan1040226lftsm600.jpg,https://apod.nasa.gov/apod/image/1208/a11pan1040226lftsm.jpg,,image
2012-08-31,https://apod.nasa.gov/apod/image/1208/CatsEyeGoldman900.jpg,https://apod.nasa.gov/apod/image/1208/CatsEyeGoldman.jpg,Don Goldman,image
2012-09-01,https://apod.nasa.gov/apod/image/1209/FullMoon20120830smith.jpg,https://apod.nasa.gov/apod/image/1209/FullMoon20120830smith.jpg,Simon Smith,image
2012-09-02,https://apod.nasa.gov/apod/image/1209/RBSP-Launch-Streak-Double-MKilliancrop.jpg,https://apod.nasa.gov/apod/image/1209/RBSP-Launch-Streak-Double-MKillian.jpg,Mike Killian,image
2012-09-03,https://apod.nasa.gov/apod/image/1209/m45_gendler_960.jpg,https://apod.nasa.gov/apod/image/1209/m45_gendler_2400.jpg,Robert Gendler,image
